image_id,scene_id,noise_level,baseline_strict_precision,baseline_strict_recall,baseline_strict_f1,baseline_strict_iou,baseline_tol_precision,baseline_tol_recall,baseline_tol_f1,baseline_tol_iou
eval_06_l,scene06,light,0.16178521615595745,0.09500409499631415,0.11971099568093568,0.06366630076489208,0.287308228690752,0.20956256355955621,0.24235289237212057,0.1378848728154026
eval_06_m,scene06,medium,0.04418604650820263,0.046683046679223336,0.045400188982819945,0.023227383862134174,0.0976744185970795,0.11310592458589713,0.10482524144066192,0.05531167690714172
eval_06_h,scene06,heavy,0.061529271203014976,0.0843570843501755,0.07115711874958973,0.03689111747718871,0.12186379927587432,0.19980411359453437,0.1513914186014376,0.08189482135359716
eval_07_l,scene07,light,0.23973825102678534,0.2433574879080098,0.24153426224485836,0.13735514655291906,0.40511600235543627,0.7516556290561087,0.526478501025604,0.3572927596874453
eval_07_m,scene07,medium,0.19678492238377024,0.21437198066338334,0.20520226221836224,0.11433172302369303,0.37084257204152754,0.6552399607585465,0.473628272391653,0.3102968459967395
eval_07_h,scene07,heavy,0.16048237476064553,0.20893719805501587,0.18153195504797032,0.09982688978361723,0.27643784785359754,0.6050761420705507,0.3794969324107649,0.2341846758257688
eval_08_l,scene08,light,0.2216264521696491,0.276785714254823,0.2461537967418161,0.14035087718503955,0.3404825736961141,0.7970711295403616,0.47714460420709354,0.313322368395286
eval_08_m,scene08,medium,0.13217993078670034,0.2131696428333516,0.16317808174063975,0.08883720929819362,0.2525951556918619,0.6506238858020279,0.36390823484805257,0.22242535038254568
eval_08_h,scene08,heavy,0.0822179732261174,0.14397321426964585,0.10466526812021021,0.05522260273736205,0.1727214786378125,0.3956204378984496,0.2404613596214711,0.13666162379542804
eval_09_l,scene09,light,0.3175965664781693,0.24288840259924635,0.2752634350451646,0.15959741192238694,0.515021459153788,0.6463195690042515,0.5732483581911326,0.40178571424087217
eval_09_m,scene09,medium,0.15873015871816099,0.22975929975604384,0.187751404493266,0.10360138134664028,0.23733938017858355,0.5358361773829632,0.3289680035153217,0.19686520374941283
eval_09_h,scene09,heavy,0.2351571594604008,0.22100656452724218,0.22786233016906618,0.12858052195235006,0.358556460959423,0.5247018738458771,0.42600271796198963,0.27065026359660366
eval_10_l,scene10,light,0.13294180458446653,0.23579545452312542,0.17002385282025198,0.09291044775772722,0.2231713827964137,0.6266866565777082,0.32913381951370657,0.19698397737054743
eval_10_m,scene10,medium,0.12838427947037623,0.2784090908827264,0.17573217436334745,0.09633027522620151,0.23231441047020462,0.6340882001628024,0.34004470345968607,0.20485175201367534
eval_10_h,scene10,heavy,0.08974358973916452,0.17234848483216395,0.11802848933007686,0.06271536870907253,0.20857988164651972,0.49415887844694406,0.2933425379872463,0.1718813490381194
