noise_level,baseline_strict_f1,proposed_strict_f1,mean_delta,n
heavy,0.14064903228338266,0.1509308581659801,0.010281825882597424,5
light,0.2105372685066053,0.22561522589680155,0.015077957390196229,5
medium,0.15545282235968708,0.15806795294506595,0.0026151305853788775,5
