image_id,scene_id,noise_level,noise_measure,baseline_strict_f1,proposed_strict_f1,delta_proposed_minus_baseline_strict_f1
eval_06_l,scene06,light,0.5739225149154663,0.11971099568093568,0.12040485595607212,0.000693860275136432
eval_06_m,scene06,medium,0.6833529472351074,0.045400188982819945,0.05244334534098441,0.007043156358164465
eval_06_h,scene06,heavy,1.521286129951477,0.07115711874958973,0.03773580405936737,-0.03342131469022236
eval_07_l,scene07,light,0.7080199718475342,0.24153426224485836,0.30139040768618264,0.05985614544132428
eval_07_m,scene07,medium,0.8588873147964478,0.20520226221836224,0.2392637573059859,0.034061495087623656
eval_07_h,scene07,heavy,1.5774829387664795,0.18153195504797032,0.1860057809521337,0.00447382590416337
eval_08_l,scene08,light,0.4464558660984039,0.2461537967418161,0.2515463420176526,0.005392545275836491
eval_08_m,scene08,medium,0.6006295084953308,0.16317808174063975,0.16688736938431945,0.0037092876436796984
eval_08_h,scene08,heavy,1.243388056755066,0.10466526812021021,0.1279813346011868,0.02331606648097659
eval_09_l,scene09,light,0.4268726706504822,0.2752634350451646,0.28643848100321945,0.011175045958054852
eval_09_m,scene09,medium,0.6341497898101807,0.187751404493266,0.18944514773336982,0.0016937432401038233
eval_09_h,scene09,heavy,1.131472945213318,0.22786233016906618,0.29071327696998683,0.06285094680092065
eval_10_l,scene10,light,0.6201686859130859,0.17002385282025198,0.16829604282088106,-0.0017278099993709162
eval_10_m,scene10,medium,0.8281571269035339,0.17573217436334745,0.1423001449606702,-0.033432029402677255
eval_10_h,scene10,heavy,1.3235207796096802,0.11802848933007686,0.11221809424722572,-0.005810395082851139
