method,clean_f1,retention_ratio,failure_threshold_f1,first_tested_sigma_below_threshold
baseline,0.2105372685066053,0.5,0.10526863425330266,10
proposed,0.22788870012996795,0.5,0.11394435006498398,50
joint,0.2105372685066053,0.5,0.10526863425330266,50
