noise_level,baseline_strict_precision,baseline_strict_recall,baseline_strict_f1,baseline_strict_iou,baseline_tol_precision,baseline_tol_recall,baseline_tol_f1,baseline_tol_iou
heavy,0.12582607367786863,0.16612450920684868,0.14064903228338266,0.07664730013191812,0.2276318936746454,0.4438722891712711,0.2981389933165819,0.1790545467219034
light,0.21473765808300554,0.21876623085630373,0.2105372685066053,0.11877603683659296,0.3542199293385008,0.6062591095475972,0.4296716350619315,0.2814539385019107
medium,0.1320530675734421,0.1964786121629457,0.15545282235968708,0.08526559455137253,0.23815318739585142,0.5177788297384474,0.32227489113107505,0.19795016580990302
